role_id,Directorate,Department,Role
R0100,National Operations,National Risk and Resilience,Business Support Manager
R0101,National Operations,National Risk and Resilience,CBRNe Instructor
R0102,National Operations,National Risk and Resilience,Clinical Training Officer
R0103,National Operations,National Risk and Resilience,Command Training Officer
R0104,National Operations,National Risk and Resilience,Community Resilience Facilitator
R0105,National Operations,National Risk and Resilience,Community Resilience Team Leader
R0106,National Operations,National Risk and Resilience,Education and Training Business Administrator
R0107,National Operations,National Risk and Resilience,Events Service Delivery Manager
R0108,National Operations,National Risk and Resilience,Head of Risk and Resilience
R0109,National Operations,National Risk and Resilience,Logistics Operative
R0110,National Operations,National Risk and Resilience,Logistics Team Leader
R0111,National Operations,National Risk and Resilience,Operational Support Manager
R0112,National Operations,National Risk and Resilience,Resilience Advisor
R0113,National Operations,National Risk and Resilience,Resilience Manager
R0114,National Operations,National Risk and Resilience,Risk and Resilience Administrator
R0115,National Operations,National Risk and Resilience,Risk and Resilience Administrator
R0116,National Operations,National Risk and Resilience,Risk Management Administrator
R0117,National Operations,National Risk and Resilience,Risk Management Administrator
R0118,National Operations,National Risk and Resilience,Risk Manager
R0119,National Operations,National Risk and Resilience,SORT Paramedic
R0120,National Operations,National Risk and Resilience,SORT Team Leader
R0121,National Operations,National Risk and Resilience,Special Operations Manager
R0122,National Operations,National Risk and Resilience,Strategic Operations Manager
R0123,National Operations,National Risk and Resilience,Training Administrator
R0124,National Operations,National Risk and Resilience,Training and Development Compliance Manager
R0125,National Operations,National Risk and Resilience,Training and Development Manager
R0126,National Operations,ScotSTAR,Advanced Neonatal Nurse Practitioner
R0127,National Operations,ScotSTAR,Advanced Neonatal Nurse Practitioner
R0128,National Operations,ScotSTAR,Advanced Nurse Practitioner
R0129,National Operations,ScotSTAR,Advanced Retrieval Practitioner
R0130,National Operations,ScotSTAR,Air Ambulance Paramedics
R0131,National Operations,ScotSTAR,EMRS Administrator
R0132,National Operations,ScotSTAR,EMRS Advanced Retrieval Practitioner
R0133,National Operations,ScotSTAR,EMRS Consultant
R0134,National Operations,ScotSTAR,EMRS Fellow
R0135,National Operations,ScotSTAR,Head of Air Ambulance Service
R0136,National Operations,ScotSTAR,Head of ScotSTAR EMRS
R0137,National Operations,ScotSTAR,Head of ScotSTAR Paediatrics
R0138,National Operations,ScotSTAR,HIU Paediatric Liaison Nurse
R0139,National Operations,ScotSTAR,Neonatal Charge Nurse
R0140,National Operations,ScotSTAR,Neonatal Consultant
R0141,National Operations,ScotSTAR,Neonatal Fellow
R0142,National Operations,ScotSTAR,Neonatal Nurse Consultant
R0143,National Operations,ScotSTAR,Neonatal Nurses
R0144,National Operations,ScotSTAR,Neonatal Transport Nurse
R0145,National Operations,ScotSTAR,Nurse Consultant
R0146,National Operations,ScotSTAR,Paediatric Advanced Nurse Practitioner
R0147,National Operations,ScotSTAR,Paediatric Consultant
R0148,National Operations,ScotSTAR,Paediatric Fellow
R0149,National Operations,ScotSTAR,Paediatric Nurse
R0150,National Operations,ScotSTAR,Paediatric Nurse Consultant
R0151,National Operations,ScotSTAR,ScotSTAR Administrator
R0152,National Operations,ScotSTAR,ScotSTAR Driver
R0153,National Operations,ScotSTAR,Senior Transport Charge Nurse
R0154,National Operations,ScotSTAR,Transport Nurse
R0155,People and Culture,Education and Professional Development,Administrator
R0156,People and Culture,Education and Professional Development,Assistant Head of Education and Professional Development
R0157,People and Culture,Education and Professional Development,Clinical Training Officer
R0158,People and Culture,Education and Professional Development,Head of Education and Professional Development
R0159,People and Culture,Health and Safety,Head of Health and Safety
R0160,People and Culture,Health and Safety,Health and Safety team
R0161,People and Culture,Human Resources,Head of Workforce Systems and Analytics
R0162,People and Culture,Human Resources,Health and Safety Auditor
R0163,People and Culture,Human Resources,Health and Safety Officer
R0164,People and Culture,Human Resources,Human Resources Advisor
R0165,People and Culture,Human Resources,Human Resources Assistant
R0166,People and Culture,Human Resources,Human Resources Manager
R0167,People and Culture,Human Resources,Human Resources Officer
R0168,People and Culture,Human Resources,Human Resources Services Officer
R0169,People and Culture,Human Resources,Human Resources Systems Administrator
R0170,People and Culture,Human Resources,Specialist Staffing Adviser
R0171,People and Culture,Infection Prevention and Control,Head of Infection Prevention and Control
R0172,People and Culture,Infection Prevention and Control,Infection Prevention and Control Auditor
R0173,People and Culture,Infection Prevention and Control,Infection Prevention and Control Practitioner
R0174,People and Culture,Infection Prevention and Control,Lead Infection Prevention and Control Practitioner
R0175,People and Culture,Infection Prevention and Control,Senior Infection Prevention and Control Practitioner
R0176,People and Culture,Organisational Development,Head of Organisational Development
R0177,People and Culture,Organisational Development,Organisational Development Lead
R0178,People and Culture,Organisational Development,Wellbeing Lead
R0179,Research and Innovation,Research and Innovation,Associate Director
R0180,Research and Innovation,Research and Innovation,Head of Research and Innovation
R0181,Research and Innovation,Research and Innovation,Research and Innovation Co-ordinator
R0182,Strategy and Planning,Business Intelligence,Head of Business Intelligence
R0183,Strategy and Planning,Business Intelligence,Information Analyst
R0184,Strategy and Planning,Business Intelligence,Senior Information Analyst Clinical Outcomes
R0185,Strategy and Planning,Information Governance,Head of Information Governance
R0186,Strategy and Planning,Information Governance,Information Compliance Officer
R0187,Strategy and Planning,Information Governance,Information Governance Officer
R0188,Strategy and Planning,Information Governance,Records Management Officer
R0189,Strategy and Planning,Project Management Office,Head of Programmes
R0190,Strategy and Planning,Project Management Office,Portfolio Manager
R0191,Strategy and Planning,Project Management Office,Programme Administrator
R0192,Strategy and Planning,Project Management Office,Programme Manager
R0193,Strategy and Planning,Project Management Office,Programme Support Officer
R0194,Strategy and Planning,Project Management Office,Project Manager
R0195,Strategy and Planning,Project Management Office,Senior Project Officer
R0196,Strategy and Planning,Project Management Office,Strategy Programme Officer
R0197,Strategy and Planning,Public Protection,Head of Public Protection
R0198,Strategy and Planning,Public Protection,Public Protection Practitioner
R0199,Strategy and Planning,Strategy,Head of Strategy Implementation and Quality Improvement
R0200,Strategy and Planning,Strategy,Strategy Implementation Manager
R0201,Strategy and Planning,Workforce Planning,GRS System Administrator
R0202,Strategy and Planning,Workforce Planning,National Erostering System Administrator
R0203,Strategy and Planning,Workforce Planning,Regional Planner
R0204,Strategy and Planning,Workforce Planning,Resource Planner
R0205,Strategy and Planning,Workforce Planning,Workforce Administrator
R0206,Strategy and Planning,Workforce Planning,Workforce Planner
R0207,Strategy and Planning,Workforce Planning,Workforce Planning Supervisor
R0208,Strategy and Planning,Workforce Planning,Workforce Planning Supervisor
R0209,Support Services,Office Services,Administration Assistant
R0210,Support Services,Office Services,Administration Officer
R0211,Support Services,Office Services,Administration Support
R0212,Support Services,Office Services,Administrator
R0213,Support Services,Office Services,Higher Clerical Officer
R0214,Support Services,Office Services,Personal Assistant
